ph,model,operating_point,sensitivity_pct,specificity_pct,fnr_pct,fnr_low,fnr_high,pr_auc,fp_episodes_per_day
60,Logistic event classifier,PH60 spec~0.90,90.4,90.1,9.6,9.0,10.2,0.87,3.37
60,Logistic event classifier,PH60 spec~0.95,81.6,95.1,18.4,17.6,19.2,0.87,2.29
60,Logistic event classifier,default_0.5,91.0,89.4,9.0,8.4,9.6,0.87,
60,XGBoost event classifier,PH60 spec~0.90,90.9,90.2,9.1,8.5,9.7,0.90,3.70
60,XGBoost event classifier,PH60 spec~0.95,83.8,95.1,16.2,15.4,16.9,0.90,2.84
60,XGBoost event classifier,default_0.5,91.4,89.6,8.6,8.1,9.2,0.90,
60,Linear trajectory,default predicted-min <70 mg/dL,61.6,99.5,38.4,37.4,39.5,,
120,Logistic event classifier,PH120 spec~0.90,76.2,90.2,23.8,23.1,24.6,0.80,3.19
120,Logistic event classifier,PH120 spec~0.95,65.7,95.1,34.3,33.5,35.2,0.80,2.02
120,Logistic event classifier,default_0.5,82.5,85.8,17.5,16.8,18.2,0.80,
120,XGBoost event classifier,PH120 spec~0.90,77.7,90.2,22.3,21.6,23.1,0.83,3.33
120,XGBoost event classifier,PH120 spec~0.95,68.4,95.2,31.6,30.7,32.4,0.83,2.47
120,XGBoost event classifier,default_0.5,83.3,85.5,16.7,16.0,17.4,0.83,
120,Linear trajectory,default,47.0,99.6,53.0,52.1,53.9,,
